species,a,b,c,d,e,w,z,t_c,C_crit
Aesculus hippocastanum,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
Betula pendula,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
Fagus sylvatica,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
Larix decidua,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
Quercus robur,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
Sorbus aucuparia,-0.1,3.5,0,-0.25,5,40,-0.05,0,70
