species,a,b,c,d,e,w,z,t_c,C_crit
Aesculus hippocastanum,0,10,10,-0.01,30,2000,0,60,90
Betula pendula,0,10,10,-0.01,30,2000,0,60,90
Fagus sylvatica,0,10,10,-0.01,30,2000,0,60,90
Larix decidua,0,10,10,-0.01,30,2000,0,60,90
Quercus robur,0,10,10,-0.01,30,2000,0,60,90
Sorbus aucuparia,0,10,10,-0.01,30,2000,0,60,90
